county,state,state_encoded,total_non_english_speakers_18_64,foreign_born_population,spanish_speakers_total,spanish_eng_very_well,spanish_eng_well,spanish_eng_not_well,spanish_eng_not_at_all,indo_euro_speakers_total,indo_euro_eng_very_well,indo_euro_eng_well,indo_euro_eng_not_well,indo_euro_eng_not_at_all,asian_pac_speakers_total,asian_pac_eng_very_well,asian_pac_eng_well,asian_pac_eng_not_well,asian_pac_eng_not_at_all,other_lang_speakers_total,other_lang_eng_very_well,other_lang_eng_well,other_lang_eng_not_well,other_lang_eng_not_at_all,total_enrolled_in_school,enrolled_college_or_grad_school,median_household_income_usd
Knox County,Illinois,13,27010,1660.0,1101,747,223,74,57,556,329,150,59,18,221,112,50,6,53,82,28,15,22,17,10964,2737,50263
Lake County,Illinois,13,296521,134823.0,84138,49175,17804,13051,4108,31854,24871,5165,1516,302,23162,16641,4842,1540,139,2735,2146,508,58,23,186659,34078,104553
LaSalle County,Illinois,13,59971,3683.0,4293,2569,913,680,131,554,416,87,42,9,381,148,229,4,0,121,117,0,4,0,23065,3317,67942
Lawrence County,Illinois,13,9210,248.0,365,150,85,122,8,27,21,6,0,0,67,2,10,32,23,18,9,9,0,0,2815,480,55811
Lee County,Illinois,13,19502,772.0,700,467,137,92,4,157,154,0,3,0,85,53,31,1,0,14,12,2,0,0,6670,970,64588
Livingston County,Illinois,13,20038,614.0,639,433,161,24,21,159,148,5,3,3,1,1,0,0,0,31,31,0,0,0,7334,925,68175
Logan County,Illinois,13,16556,356.0,536,421,105,10,0,108,101,7,0,0,33,26,7,0,0,22,8,6,8,0,6220,1489,62547
McDonough County,Illinois,13,16602,832.0,339,259,47,22,11,305,217,85,3,0,129,88,19,22,0,40,40,0,0,0,8703,4200,48904
McHenry County,Illinois,13,161465,28005.0,19436,12253,4168,2459,556,6705,4728,1344,555,78,3166,2139,642,284,101,679,624,49,6,0,75604,13407,100101
McLean County,Illinois,13,100365,11793.0,3470,2233,766,382,89,2738,2244,427,67,0,3814,2597,781,436,0,524,394,130,0,0,55406,23211,75356
Macon County,Illinois,13,56520,2581.0,1303,1014,155,106,28,619,533,77,9,0,586,292,165,87,42,245,245,0,0,0,22923,4012,59622
Macoupin County,Illinois,13,25774,462.0,297,201,17,79,0,76,71,2,0,3,127,44,83,0,0,14,14,0,0,0,9637,1720,64706
Madison County,Illinois,13,154973,5746.0,3888,2714,774,314,86,1165,939,161,65,0,1235,716,405,97,17,414,337,44,33,0,65516,15794,71759
Marion County,Illinois,13,20825,499.0,269,126,127,4,12,95,40,40,15,0,130,70,20,40,0,27,27,0,0,0,8319,1072,59099
Marshall County,Illinois,13,6341,137.0,164,84,48,32,0,26,26,0,0,0,14,14,0,0,0,5,5,0,0,0,2216,237,64940
Mason County,Illinois,13,7199,84.0,114,90,24,0,0,36,36,0,0,0,40,25,15,0,0,0,0,0,0,0,2549,289,58479
Massac County,Illinois,13,7922,181.0,136,102,32,2,0,42,42,0,0,0,22,7,15,0,0,30,21,9,0,0,2723,248,57365
Menard County,Illinois,13,6983,127.0,28,28,0,0,0,32,28,4,0,0,27,27,0,0,0,6,6,0,0,0,2811,402,84846
Mercer County,Illinois,13,8763,175.0,188,122,37,23,6,22,5,14,3,0,24,11,7,0,6,48,26,14,8,0,3115,387,67028
Monroe County,Illinois,13,20244,404.0,293,281,12,0,0,118,118,0,0,0,105,59,11,35,0,9,9,0,0,0,7642,1038,100685
Montgomery County,Illinois,13,16387,318.0,172,138,29,5,0,140,113,7,20,0,23,3,20,0,0,38,31,3,4,0,5484,655,61796
