county,state,state_encoded,total_non_english_speakers_18_64,foreign_born_population,spanish_speakers_total,spanish_eng_very_well,spanish_eng_well,spanish_eng_not_well,spanish_eng_not_at_all,indo_euro_speakers_total,indo_euro_eng_very_well,indo_euro_eng_well,indo_euro_eng_not_well,indo_euro_eng_not_at_all,asian_pac_speakers_total,asian_pac_eng_very_well,asian_pac_eng_well,asian_pac_eng_not_well,asian_pac_eng_not_at_all,other_lang_speakers_total,other_lang_eng_very_well,other_lang_eng_well,other_lang_eng_not_well,other_lang_eng_not_at_all,total_enrolled_in_school,enrolled_college_or_grad_school,median_household_income_usd
Autauga County,Alabama,0,34424,1552.0,646,514,97,35,0,273,240,33,0,0,315,182,99,16,18,161,7,37,117,0,13743,2430,68315
Baldwin County,Alabama,0,127387,8106.0,4350,2039,1219,785,307,2096,1459,441,174,22,605,283,161,161,0,87,80,7,0,0,47838,7417,71039
Barbour County,Alabama,0,13587,776.0,958,597,106,226,29,97,69,0,28,0,97,47,20,30,0,61,30,31,0,0,5258,841,39712
Bibb County,Alabama,0,13610,244.0,161,93,7,61,0,7,7,0,0,0,24,0,24,0,0,0,0,0,0,0,4488,461,50669
Blount County,Alabama,0,31504,2843.0,3053,1359,649,706,339,144,144,0,0,0,8,8,0,0,0,13,4,0,9,0,12727,1754,57440
Bullock County,Alabama,0,5873,389.0,548,421,36,91,0,0,0,0,0,0,0,0,0,0,0,18,10,0,8,0,2510,414,36136
Butler County,Alabama,0,10373,322.0,219,168,51,0,0,90,77,13,0,0,44,37,0,7,0,0,0,0,0,0,3965,624,44429
Calhoun County,Alabama,0,67980,2698.0,1961,1134,474,251,102,381,306,53,22,0,336,240,86,10,0,111,111,0,0,0,27716,7125,54339
Chambers County,Alabama,0,19896,508.0,499,327,100,72,0,130,130,0,0,0,66,64,2,0,0,0,0,0,0,0,6793,1362,48805
Cherokee County,Alabama,0,14015,493.0,374,98,67,135,74,57,57,0,0,0,57,34,21,2,0,13,13,0,0,0,4779,934,46621
Chilton County,Alabama,0,24647,1839.0,1992,613,552,763,64,86,86,0,0,0,105,16,54,3,32,0,0,0,0,0,9783,1463,62471
Choctaw County,Alabama,0,7016,56.0,121,104,6,11,0,47,9,38,0,0,0,0,0,0,0,9,0,9,0,0,2515,540,43299
Clarke County,Alabama,0,13051,182.0,127,127,0,0,0,35,35,0,0,0,55,16,37,2,0,15,15,0,0,0,4613,758,47549
Clay County,Alabama,0,8088,92.0,249,223,20,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2918,535,48074
Cleburne County,Alabama,0,8469,211.0,172,107,19,41,5,83,71,12,0,0,0,0,0,0,0,0,0,0,0,0,3025,318,51553
Coffee County,Alabama,0,29021,2110.0,1977,962,404,285,326,419,351,68,0,0,214,107,61,27,19,93,85,0,8,0,13021,2398,62199
Colbert County,Alabama,0,32997,988.0,702,223,35,323,121,89,68,9,0,12,52,11,8,33,0,0,0,0,0,0,11666,1665,56149
Conecuh County,Alabama,0,6392,96.0,87,58,29,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,2365,233,39888
Coosa County,Alabama,0,6028,47.0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,1612,125,52279
Covington County,Alabama,0,20679,433.0,310,212,77,21,0,46,40,0,6,0,115,102,13,0,0,0,0,0,0,0,7590,842,48772
Crenshaw County,Alabama,0,7307,343.0,139,29,87,0,23,10,10,0,0,0,118,63,55,0,0,0,0,0,0,0,2705,278,48557
Cullman County,Alabama,0,49974,2047.0,1725,791,339,422,173,154,147,5,2,0,156,37,96,23,0,21,21,0,0,0,19179,2974,58119
Dale County,Alabama,0,27569,1664.0,1314,724,363,115,112,239,201,38,0,0,262,216,31,12,3,10,10,0,0,0,10832,1631,52813
Dallas County,Alabama,0,21603,465.0,39,10,5,24,0,70,70,0,0,0,46,0,10,36,0,90,76,14,0,0,8624,1003,37180
DeKalb County,Alabama,0,36364,5277.0,5479,2018,913,1883,665,175,144,31,0,0,42,42,0,0,0,100,81,3,16,0,16469,2454,47920
Elmore County,Alabama,0,53182,1808.0,1123,231,288,473,131,189,80,109,0,0,147,142,5,0,0,157,151,6,0,0,19592,3619,73258
Escambia County,Alabama,0,21202,269.0,242,75,53,89,25,38,33,5,0,0,70,52,18,0,0,38,19,9,10,0,7172,753,41153
Etowah County,Alabama,0,58232,2456.0,2096,951,558,346,241,258,143,35,43,37,317,188,69,60,0,199,165,34,0,0,21911,3938,52177
Fayette County,Alabama,0,9329,121.0,19,19,0,0,0,31,31,0,0,0,12,12,0,0,0,9,9,0,0,0,3591,630,45650
Franklin County,Alabama,0,15595,2770.0,3009,1121,789,860,239,8,8,0,0,0,4,0,2,2,0,16,16,0,0,0,7390,1231,47359
Geneva County,Alabama,0,14886,468.0,394,269,47,64,14,21,21,0,0,0,85,8,56,21,0,13,0,0,0,13,5849,1059,47608
Greene County,Alabama,0,4128,103.0,16,1,13,2,0,0,0,0,0,0,0,0,0,0,0,42,42,0,0,0,1643,98,32796
Hale County,Alabama,0,8311,92.0,61,41,0,20,0,4,4,0,0,0,9,6,0,3,0,0,0,0,0,0,3218,481,35851
Henry County,Alabama,0,9518,155.0,210,92,66,52,0,52,31,21,0,0,32,23,9,0,0,0,0,0,0,0,3251,351,58395
Houston County,Alabama,0,60232,2725.0,1691,1197,229,210,55,590,472,109,9,0,476,294,125,34,23,131,101,7,23,0,24508,4205,55064
Jackson County,Alabama,0,30052,863.0,741,356,73,312,0,57,45,12,0,0,97,22,42,33,0,2,2,0,0,0,10143,1541,46748
Jefferson County,Alabama,0,383330,26358.0,14300,6150,3457,3256,1437,5774,4425,1050,299,0,4334,2573,1585,164,12,2430,2136,277,13,4,164912,34136,63595
Lamar County,Alabama,0,7741,93.0,34,33,0,1,0,7,7,0,0,0,2,0,2,0,0,0,0,0,0,0,2719,433,49565
Lauderdale County,Alabama,0,54691,2216.0,1488,601,436,265,186,395,299,81,15,0,429,92,183,154,0,93,61,11,10,11,22232,6575,56081
Lawrence County,Alabama,0,19224,367.0,469,226,106,119,18,0,0,0,0,0,81,35,46,0,0,21,13,0,8,0,6876,1013,54786
Lee County,Alabama,0,107205,10002.0,3064,1863,591,499,111,1914,1485,191,238,0,3975,1515,1502,910,48,283,208,56,19,0,60369,24979,59288
Limestone County,Alabama,0,60433,3964.0,2982,1748,650,509,75,940,575,245,120,0,675,386,164,116,9,142,142,0,0,0,23791,4245,80146
Lowndes County,Alabama,0,5927,81.0,16,13,0,3,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,2181,257,33125
Macon County,Alabama,0,11889,227.0,207,113,42,52,0,16,16,0,0,0,21,21,0,0,0,3,3,0,0,0,5532,3131,41206
Madison County,Alabama,0,227458,21459.0,9369,5023,2090,1995,261,4300,3534,570,146,50,3631,1989,1029,564,49,1383,1145,215,23,0,100067,26705,78058
Marengo County,Alabama,0,10616,277.0,228,124,104,0,0,109,65,44,0,0,59,59,0,0,0,0,0,0,0,0,4674,1071,42975
Marion County,Alabama,0,16454,305.0,380,187,136,31,26,34,34,0,0,0,68,27,24,17,0,0,0,0,0,0,5688,815,49743
Marshall County,Alabama,0,48924,6999.0,6615,2482,1849,1685,599,576,211,71,82,212,155,68,41,46,0,47,34,6,7,0,23057,3195,58272
Mobile County,Alabama,0,236504,13193.0,4797,2739,837,1022,199,1969,1638,234,97,0,3989,2004,882,763,340,1337,863,282,180,12,95944,18074,55352
Monroe County,Alabama,0,11404,88.0,42,35,0,7,0,18,18,0,0,0,3,2,1,0,0,0,0,0,0,0,4157,488,39965
Montgomery County,Alabama,0,129267,11045.0,3600,1411,823,863,503,1592,1121,396,75,0,3707,1696,1058,789,164,526,307,171,34,14,58594,12033,56707
Morgan County,Alabama,0,66243,6326.0,5153,2543,875,1379,356,588,557,31,0,0,163,162,1,0,0,715,2,40,673,0,27836,4636,61588
Perry County,Alabama,0,4879,52.0,53,53,0,0,0,6,6,0,0,0,0,0,0,0,0,12,12,0,0,0,2325,1027,32332
Pickens County,Alabama,0,10757,781.0,758,313,180,182,83,44,35,9,0,0,10,0,10,0,0,31,20,0,11,0,3823,879,45339
Pike County,Alabama,0,20457,1313.0,305,230,33,42,0,494,359,132,3,0,464,81,207,176,0,0,0,0,0,0,11191,5344,42616
Randolph County,Alabama,0,12536,336.0,241,121,95,25,0,90,85,0,5,0,43,26,0,17,0,9,9,0,0,0,4716,1066,49879
Russell County,Alabama,0,33579,1728.0,1620,1263,62,266,29,433,415,18,0,0,269,88,181,0,0,19,19,0,0,0,15415,3277,47420
St. Clair County,Alabama,0,53580,1335.0,1202,667,478,57,0,291,291,0,0,0,95,95,0,0,0,143,63,80,0,0,20225,3061,73218
Shelby County,Alabama,0,125584,11171.0,6961,3994,1170,1659,138,1431,1136,248,47,0,2029,1157,554,150,168,667,590,49,4,24,56168,10199,90618
Sumter County,Alabama,0,7381,144.0,55,47,8,0,0,59,43,0,16,0,64,21,15,28,0,65,65,0,0,0,3684,1767,31726
Talladega County,Alabama,0,47373,1515.0,1276,688,428,142,18,392,267,0,125,0,174,38,27,109,0,53,41,4,8,0,17494,3600,52457
Tallapoosa County,Alabama,0,22738,704.0,710,281,86,317,26,61,61,0,0,0,121,65,26,30,0,30,30,0,0,0,7721,1287,53282
Tuscaloosa County,Alabama,0,144356,8171.0,4184,2348,951,850,35,2297,1860,285,152,0,1523,773,517,218,15,416,313,103,0,0,70890,30461,61645
Walker County,Alabama,0,36850,730.0,854,508,120,140,86,38,38,0,0,0,64,37,8,19,0,0,0,0,0,0,14000,2024,52987
Washington County,Alabama,0,9056,114.0,24,9,15,0,0,0,0,0,0,0,1,0,0,1,0,122,122,0,0,0,2985,465,51184
Wilcox County,Alabama,0,5749,54.0,46,40,0,6,0,38,38,0,0,0,0,0,0,0,0,42,0,0,42,0,2320,183,38208
Winston County,Alabama,0,13251,448.0,393,136,75,82,100,44,42,2,0,0,46,0,20,22,4,0,0,0,0,0,3947,505,49494
Aleutians East Borough,Alaska,1,1320,1102.0,313,127,75,89,22,188,18,37,124,9,625,244,227,138,16,148,75,9,32,32,472,81,79961
Aleutians West Census Area,Alaska,1,1633,2298.0,375,265,59,49,2,238,111,84,36,7,1657,968,355,334,0,100,52,41,7,0,930,130,100662
Anchorage Municipality,Alaska,1,154047,31473.0,9106,6908,1308,763,127,4166,3170,539,338,119,16080,9763,4345,1633,339,3119,2232,703,184,0,69490,14050,95731
Bethel Census Area,Alaska,1,4077,417.0,103,85,15,3,0,144,138,6,0,0,249,152,30,67,0,6077,5878,175,21,3,5372,265,64094
Bristol Bay Borough,Alaska,1,476,79.0,19,18,1,0,0,31,29,2,0,0,39,28,11,0,0,18,18,0,0,0,139,21,94167
Chugach Census Area,Alaska,1,3728,568.0,201,201,0,0,0,197,197,0,0,0,384,178,99,60,47,46,26,20,0,0,1646,268,83068
Copper River Census Area,Alaska,1,1419,36.0,7,7,0,0,0,0,0,0,0,0,1,1,0,0,0,46,46,0,0,0,594,49,70606
Denali Borough,Alaska,1,1341,200.0,15,15,0,0,0,85,66,10,9,0,92,62,30,0,0,0,0,0,0,0,334,99,87292
Dillingham Census Area,Alaska,1,1700,156.0,36,36,0,0,0,69,64,0,5,0,19,17,2,0,0,996,936,32,25,3,1246,72,69412
Fairbanks North Star Borough,Alaska,1,54727,5094.0,2640,2093,444,60,43,1506,1204,295,7,0,2202,1212,479,456,55,932,853,49,30,0,25390,6595,81655
Haines Borough,Alaska,1,916,93.0,44,44,0,0,0,3,3,0,0,0,22,4,18,0,0,17,17,0,0,0,570,4,68276
Hoonah-Angoon Census Area,Alaska,1,1274,58.0,75,60,5,10,0,25,25,0,0,0,10,10,0,0,0,76,65,8,3,0,321,35,62344
Juneau City and Borough,Alaska,1,18347,2722.0,712,529,104,14,65,140,138,2,0,0,1179,677,400,102,0,361,249,112,0,0,6901,1365,95711
Kenai Peninsula Borough,Alaska,1,32196,2175.0,1015,838,121,54,2,766,670,85,11,0,667,422,200,39,6,512,431,49,32,0,12178,1558,76272
Ketchikan Gateway Borough,Alaska,1,7668,1246.0,230,211,19,0,0,88,57,20,5,6,576,344,166,64,2,101,59,30,12,0,2779,367,82763
Kodiak Island Borough,Alaska,1,5654,2525.0,635,432,42,139,22,166,166,0,0,0,1700,610,650,440,0,168,109,59,0,0,3213,513,91138
Kusilvak Census Area,Alaska,1,3098,107.0,64,64,0,0,0,15,15,0,0,0,14,14,0,0,0,1223,1126,97,0,0,2584,82,42663
Lake and Peninsula Borough,Alaska,1,567,65.0,9,9,0,0,0,3,3,0,0,0,27,8,19,0,0,46,43,3,0,0,237,20,61607
Matanuska-Susitna Borough,Alaska,1,61782,3798.0,1369,1064,176,92,37,1575,1208,169,194,4,1054,603,270,178,3,492,321,140,31,0,25993,3477,86435
Nome Census Area,Alaska,1,4181,163.0,115,107,8,0,0,65,61,4,0,0,123,92,22,9,0,1373,1309,61,3,0,3017,184,70121
North Slope Borough,Alaska,1,4884,818.0,395,312,27,0,56,270,264,6,0,0,486,336,144,6,0,1566,1239,250,77,0,2385,268,83472
Northwest Arctic Borough,Alaska,1,2984,143.0,81,81,0,0,0,31,31,0,0,0,121,102,19,0,0,1075,1055,14,6,0,2188,75,77647
Petersburg Borough,Alaska,1,1384,703.0,165,153,12,0,0,20,12,0,8,0,339,133,77,129,0,18,10,8,0,0,569,61,77826
Prince of Wales-Hyder Census Area,Alaska,1,3241,190.0,51,51,0,0,0,34,20,14,0,0,44,42,2,0,0,65,60,0,5,0,1257,142,61779
Sitka City and Borough,Alaska,1,4542,853.0,334,276,22,16,20,79,70,5,4,0,382,287,71,23,1,41,33,8,0,0,1981,381,95261
Skagway Municipality,Alaska,1,800,105.0,36,28,0,0,8,49,48,1,0,0,5,0,0,5,0,26,26,0,0,0,220,69,79583
Southeast Fairbanks Census Area,Alaska,1,3400,599.0,180,111,23,26,20,323,196,57,58,12,43,31,0,12,0,121,121,0,0,0,1630,96,75378
Wrangell City and Borough,Alaska,1,1042,80.0,24,23,0,0,1,0,0,0,0,0,15,15,0,0,0,5,5,0,0,0,372,10,61000
Yakutat City and Borough,Alaska,1,237,97.0,13,13,0,0,0,0,0,0,0,0,59,23,28,8,0,11,11,0,0,0,111,35,76875
Yukon-Koyukuk Census Area,Alaska,1,2674,111.0,27,27,0,0,0,31,31,0,0,0,79,22,53,4,0,216,201,15,0,0,1319,125,47826
Apache County,Arizona,2,14970,1025.0,1327,1066,112,108,41,243,240,0,3,0,143,96,47,0,0,21385,16859,3616,898,12,17598,2693,37483
Cochise County,Arizona,2,48568,13535.0,18894,13292,2989,1824,789,1197,1085,108,4,0,979,586,249,144,0,263,182,6,28,47,28693,5798,58421
Coconino County,Arizona,2,73356,7310.0,6877,4815,1070,941,51,1233,1070,121,0,42,1363,818,450,93,2,13644,11608,1492,501,43,47748,21433,67266
Gila County,Arizona,2,22251,1678.0,2186,1723,389,74,0,198,171,12,15,0,226,226,0,0,0,2418,2146,178,94,0,9493,1367,55242
Graham County,Arizona,2,17572,951.0,3636,2855,457,324,0,162,61,82,11,8,239,194,0,45,0,1335,1061,243,31,0,10348,1977,64089
Greenlee County,Arizona,2,4583,382.0,771,644,58,68,1,29,29,0,0,0,139,96,43,0,0,73,46,27,0,0,2294,219,73756
La Paz County,Arizona,2,5018,2007.0,1917,1019,332,218,348,139,129,10,0,0,61,41,18,2,0,90,90,0,0,0,2464,366,46634
Maricopa County,Arizona,2,1928359,643020.0,594152,380901,87864,84002,41385,72901,58247,11044,3254,356,77332,50063,18125,7585,1559,41217,29572,7824,3057,764,1081898,220397,80675
Mohave County,Arizona,2,97748,13842.0,11367,7611,1888,1228,640,890,765,89,36,0,823,531,238,54,0,983,749,193,41,0,34958,5778,53592
Navajo County,Arizona,2,35911,2470.0,3257,2655,306,178,118,344,267,70,0,7,318,230,88,0,0,19161,15834,2575,708,44,25634,2650,50335
Pima County,Arizona,2,430690,127434.0,156212,112957,22254,13860,7141,10928,9105,1217,420,186,12738,8331,3224,990,193,8543,6160,1381,738,264,253850,68475,64323
Pinal County,Arizona,2,188316,39714.0,50067,34993,7008,5331,2735,2636,1846,626,88,76,3344,2218,831,180,115,3593,3264,291,38,0,94453,15594,73313
Santa Cruz County,Arizona,2,4438,15962.0,21837,12503,3524,2997,2813,83,48,35,0,0,42,19,23,0,0,0,0,0,0,0,11484,1395,51885
Yavapai County,Arizona,2,106359,16094.0,13100,8076,2929,1567,528,1484,1190,227,67,0,1014,582,339,64,29,539,452,79,8,0,42649,10159,62430
Yuma County,Arizona,2,43112,50536.0,67338,41613,7660,9070,8995,636,538,81,17,0,1159,736,319,79,25,561,494,24,17,26,50585,9300,56439
Arkansas County,Arkansas,3,9504,237.0,134,48,55,29,2,55,46,9,0,0,8,8,0,0,0,31,0,31,0,0,3834,498,58695
Ashley County,Arkansas,3,10131,437.0,513,209,103,132,69,42,42,0,0,0,26,20,6,0,0,0,0,0,0,0,3882,332,44804
Baxter County,Arkansas,3,20755,908.0,380,301,58,21,0,208,208,0,0,0,105,32,40,33,0,0,0,0,0,0,7184,1087,47403
Benton County,Arkansas,3,145486,34287.0,20647,9874,4078,4019,2676,2446,1952,378,116,0,4931,2629,1196,853,253,398,328,57,13,0,70265,10541,85269
Boone County,Arkansas,3,20675,441.0,317,251,13,0,53,155,126,27,2,0,101,54,42,5,0,10,7,0,3,0,7759,905,52275
Bradley County,Arkansas,3,4967,744.0,998,784,110,104,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2507,185,43688
Calhoun County,Arkansas,3,2747,81.0,98,39,5,54,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,1025,242,60237
Carroll County,Arkansas,3,13205,2537.0,1988,721,342,759,166,92,36,56,0,0,284,51,85,68,80,0,0,0,0,0,5894,651,56826
Chicot County,Arkansas,3,5429,278.0,329,207,38,84,0,39,39,0,0,0,13,8,5,0,0,5,5,0,0,0,1973,188,36593
Clark County,Arkansas,3,13284,464.0,437,248,122,25,42,100,94,0,6,0,7,7,0,0,0,6,6,0,0,0,7188,3831,48071
Clay County,Arkansas,3,8245,96.0,32,32,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,306,44685
Cleburne County,Arkansas,3,13159,192.0,173,75,25,73,0,43,43,0,0,0,0,0,0,0,0,25,15,0,10,0,4106,383,52780
Cleveland County,Arkansas,3,4388,18.0,2,2,0,0,0,31,27,4,0,0,0,0,0,0,0,0,0,0,0,0,1838,346,48913
Columbia County,Arkansas,3,13472,346.0,384,209,37,138,0,86,86,0,0,0,54,54,0,0,0,37,22,15,0,0,6260,2740,47441
Conway County,Arkansas,3,11406,560.0,580,327,112,118,23,4,4,0,0,0,59,50,9,0,0,0,0,0,0,0,4738,866,50282
Craighead County,Arkansas,3,63751,3987.0,3061,1600,684,610,167,695,511,184,0,0,539,268,148,84,39,174,126,48,0,0,30708,6581,55169
Crawford County,Arkansas,3,32582,2827.0,2668,1598,508,328,234,147,130,17,0,0,213,64,101,48,0,9,9,0,0,0,12906,1504,56702
Crittenden County,Arkansas,3,27233,858.0,446,205,143,48,50,88,47,10,31,0,152,51,58,43,0,34,22,12,0,0,12704,1756,51860
Cross County,Arkansas,3,9469,311.0,50,50,0,0,0,10,10,0,0,0,3,0,2,0,1,147,0,80,0,67,3892,450,48129
Dallas County,Arkansas,3,3527,21.0,40,23,7,10,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1455,323,40085
Desha County,Arkansas,3,5790,369.0,460,146,194,75,45,0,0,0,0,0,15,15,0,0,0,6,0,0,0,6,2619,276,38067
Drew County,Arkansas,3,9754,375.0,306,249,6,51,0,77,37,40,0,0,31,31,0,0,0,82,68,0,14,0,5420,1775,44968
Faulkner County,Arkansas,3,75813,4336.0,2625,1547,401,488,189,697,602,54,41,0,658,424,185,49,0,158,140,11,7,0,35113,11738,61273
Franklin County,Arkansas,3,9557,223.0,193,139,18,36,0,36,36,0,0,0,52,40,12,0,0,23,23,0,0,0,3524,463,47695
Fulton County,Arkansas,3,6496,78.0,4,4,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,2137,199,38917
Garland County,Arkansas,3,51535,3858.0,3253,1906,568,415,364,869,680,161,28,0,543,115,84,314,30,8,0,8,0,0,18971,2652,54229
Grant County,Arkansas,3,10566,302.0,247,216,16,15,0,19,19,0,0,0,11,11,0,0,0,0,0,0,0,0,3663,506,68598
Greene County,Arkansas,3,26841,402.0,477,284,113,46,34,29,5,24,0,0,68,68,0,0,0,42,42,0,0,0,10420,1335,54879
Hempstead County,Arkansas,3,10134,1298.0,1150,428,148,369,205,14,14,0,0,0,21,21,0,0,0,0,0,0,0,0,4884,471,45049
Hot Spring County,Arkansas,3,19485,372.0,631,525,105,1,0,62,42,20,0,0,88,43,38,7,0,0,0,0,0,0,6463,855,50260
Howard County,Arkansas,3,6041,1171.0,915,367,258,266,24,148,148,0,0,0,57,26,31,0,0,0,0,0,0,0,3127,292,44824
Independence County,Arkansas,3,20829,1271.0,1210,542,342,222,104,73,73,0,0,0,161,109,37,15,0,0,0,0,0,0,9005,1951,52361
Izard County,Arkansas,3,7751,165.0,107,96,11,0,0,7,7,0,0,0,7,6,1,0,0,10,10,0,0,0,2318,263,46159
Jackson County,Arkansas,3,10293,114.0,164,140,16,8,0,52,26,26,0,0,0,0,0,0,0,23,23,0,0,0,3134,479,41929
Jefferson County,Arkansas,3,39068,1192.0,1049,682,162,113,92,432,304,55,54,19,113,69,10,34,0,66,50,4,12,0,15077,3480,46855
Johnson County,Arkansas,3,13071,2401.0,1614,658,337,423,196,144,79,65,0,0,373,65,212,26,70,0,0,0,0,0,5884,1105,42470
Lafayette County,Arkansas,3,3384,199.0,134,30,29,50,25,6,0,6,0,0,44,44,0,0,0,0,0,0,0,0,1118,88,40262
Lawrence County,Arkansas,3,9320,190.0,132,84,20,17,11,81,81,0,0,0,11,9,2,0,0,2,2,0,0,0,3577,825,43606
Lee County,Arkansas,3,5164,131.0,149,58,12,22,57,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1434,109,33801
Lincoln County,Arkansas,3,8646,303.0,478,398,40,40,0,22,17,0,5,0,0,0,0,0,0,11,11,0,0,0,1891,277,50526
Little River County,Arkansas,3,6733,89.0,73,44,29,0,0,5,5,0,0,0,16,16,0,0,0,0,0,0,0,0,2462,152,58627
Logan County,Arkansas,3,11920,317.0,274,243,28,3,0,45,22,23,0,0,266,167,60,39,0,0,0,0,0,0,4485,826,51131
Lonoke County,Arkansas,3,42922,1973.0,1609,1035,251,318,5,227,171,56,0,0,400,172,209,19,0,134,134,0,0,0,17344,2493,68078
Madison County,Arkansas,3,9346,311.0,120,80,40,0,0,51,41,10,0,0,33,2,27,0,4,0,0,0,0,0,3677,398,51514
Marion County,Arkansas,3,8589,365.0,198,155,23,20,0,93,86,0,0,7,34,3,13,18,0,12,12,0,0,0,2851,326,42891
Miller County,Arkansas,3,24865,727.0,525,339,178,2,6,27,27,0,0,0,77,67,10,0,0,24,10,0,14,0,9616,1130,47613
Mississippi County,Arkansas,3,22834,788.0,802,317,257,169,59,72,72,0,0,0,104,84,20,0,0,0,0,0,0,0,10112,1296,50012
Monroe County,Arkansas,3,3703,22.0,6,1,5,0,0,11,11,0,0,0,9,0,9,0,0,0,0,0,0,0,1475,210,41786
Montgomery County,Arkansas,3,4496,209.0,169,54,46,69,0,0,0,0,0,0,40,20,20,0,0,0,0,0,0,0,1434,218,47103
Nevada County,Arkansas,3,4659,9.0,23,23,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,1828,338,43421
Newton County,Arkansas,3,3904,67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194,182,50699
Ouachita County,Arkansas,3,12678,95.0,194,177,1,13,3,9,9,0,0,0,10,8,2,0,0,0,0,0,0,0,4835,618,47348
Perry County,Arkansas,3,5665,99.0,61,17,41,3,0,30,30,0,0,0,7,0,7,0,0,0,0,0,0,0,2146,334,53980
Phillips County,Arkansas,3,8629,178.0,64,63,0,1,0,33,33,0,0,0,93,93,0,0,0,24,24,0,0,0,4222,462,37458
Pike County,Arkansas,3,5495,404.0,381,211,67,66,37,22,22,0,0,0,4,0,4,0,0,0,0,0,0,0,2258,390,49248
Poinsett County,Arkansas,3,12907,240.0,333,274,31,28,0,59,59,0,0,0,2,2,0,0,0,0,0,0,0,0,5133,622,43440
Polk County,Arkansas,3,9974,700.0,558,275,152,129,2,33,33,0,0,0,29,0,18,11,0,0,0,0,0,0,3766,415,48449
Pope County,Arkansas,3,35107,3565.0,2963,1361,689,853,60,423,403,20,0,0,317,155,83,79,0,10,10,0,0,0,16756,5315,51678
Prairie County,Arkansas,3,4577,16.0,45,44,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1519,192,47045
Pulaski County,Arkansas,3,220948,20141.0,12134,6026,2499,2863,746,3709,3123,282,304,0,3906,2174,1157,441,134,1528,1314,187,27,0,93777,15982,58326
Randolph County,Arkansas,3,9925,735.0,204,145,20,0,39,70,56,14,0,0,286,146,45,95,0,20,20,0,0,0,3946,411,45993
St. Francis County,Arkansas,3,13261,740.0,792,367,64,38,323,70,70,0,0,0,51,51,0,0,0,8,8,0,0,0,4845,512,39822
Saline County,Arkansas,3,68888,3992.0,2926,1347,1002,479,98,428,428,0,0,0,573,281,145,147,0,21,21,0,0,0,26765,3612,73236
Scott County,Arkansas,3,5140,318.0,316,187,43,86,0,0,0,0,0,0,68,23,30,15,0,0,0,0,0,0,2185,312,45340
Searcy County,Arkansas,3,4255,50.0,42,16,7,19,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1400,120,42063
Sebastian County,Arkansas,3,63713,11065.0,9237,4739,2214,1538,746,452,417,21,0,14,2895,1260,726,827,82,195,175,20,0,0,30114,5180,54047
Sevier County,Arkansas,3,5936,2448.0,3101,1153,924,763,261,16,14,0,2,0,149,25,17,56,51,20,20,0,0,0,4330,453,53567
Sharp County,Arkansas,3,9230,263.0,108,59,42,7,0,46,46,0,0,0,16,0,16,0,0,0,0,0,0,0,3470,374,43332
Stone County,Arkansas,3,6471,74.0,13,13,0,0,0,58,58,0,0,0,11,11,0,0,0,0,0,0,0,0,2174,157,37664
Union County,Arkansas,3,21308,1067.0,965,495,252,142,76,64,12,2,50,0,74,13,61,0,0,0,0,0,0,0,8993,1194,49745
Van Buren County,Arkansas,3,8282,239.0,179,107,23,49,0,19,19,0,0,0,73,62,11,0,0,1,1,0,0,0,2876,292,45768
Washington County,Arkansas,3,129678,28205.0,20139,9081,4470,3778,2810,2176,1431,188,557,0,6590,3138,1719,1136,597,438,370,34,34,0,72837,22344,61985
White County,Arkansas,3,44018,1749.0,2014,1281,462,223,48,289,221,49,19,0,175,66,84,0,25,34,34,0,0,0,19902,5236,51144
Woodruff County,Arkansas,3,3366,25.0,26,26,0,0,0,0,0,0,0,0,17,0,0,17,0,1,1,0,0,0,1214,139,49608
Yell County,Arkansas,3,9104,2116.0,2524,1136,437,680,271,127,63,64,0,0,178,100,51,24,3,0,0,0,0,0,4339,552,55879
Alameda County,California,4,567937,553576.0,178678,110371,32893,26725,8689,99080,81274,13133,4120,553,221689,136437,53957,24400,6895,20373,13687,3830,1867,989,402474,102328,122488
Alpine County,California,4,632,51.0,66,28,24,3,11,54,54,0,0,0,1,1,0,0,0,31,11,20,0,0,356,88,101125
Amador County,California,4,21115,2341.0,1682,1130,326,218,8,146,118,27,1,0,256,138,92,26,0,209,179,17,13,0,8002,2199,74853
Butte County,California,4,109050,16136.0,14548,9785,2277,1860,626,2345,1827,412,92,14,5329,2927,1159,1000,243,470,449,21,0,0,58722,22220,66085
